name,type,temp_c,humidity_pct,seasons,spoilage_status,CO2_ppm,Ethylene_ppm,NH3_ppm,H2S_ppm,VOC_ppm,O2_%,Transit_Duration_hrs,source,min_optimal_temp,max_optimal_temp,min_optimal_humidity,max_optimal_humidity,shelf_life
Eggs,Poultry,8.7,86.8,Winter,Warning,892.4,4.514,2.74,0.0004,0.0,0.0,21.4,Dairy_Meat,4.0,10.0,70.0,80.0,28.0
Beef Steak,Meat,12.7,91.8,Winter,Spoiled,1945.5,9.883,5.676,5.3108,0.0,0.0,45.0,Dairy_Meat,2.0,6.0,80.0,90.0,7.0
Cheddar Cheese,Dairy,29.0,87.1,Monsoon,Warning,889.0,3.842,2.277,0.8861,263.15,0.0,41.9,Dairy_Meat,1.75,6.25,78.75,88.25,12.75
Eggs,Poultry,22.2,88.1,Spring,Spoiled,1108.4,11.676,1.094,0.8041,0.0,0.0,50.4,Dairy_Meat,1.6,6.4,70.0,79.6,11.6
Pork Ribs,Meat,33.2,85.4,Summer,Spoiled,2474.6,8.932,19.001,7.1314,0.0,0.0,44.5,Dairy_Meat,2.0,6.0,80.0,90.0,7.0
Eggs,Poultry,22.8,81.5,Spring,Warning,1071.9,4.16,3.888,0.4846,0.0,0.0,18.0,Dairy_Meat,1.6,6.4,70.0,79.6,11.6
Pork Ribs,Meat,33.7,72.2,Summer,Spoiled,885.6,10.409,14.128,0.5138,0.0,0.0,29.9,Dairy_Meat,2.0,6.0,80.0,90.0,7.0
Lamb Chops,Meat,17.8,91.6,Spring,Spoiled,441.0,13.21,11.514,3.8158,0.0,0.0,67.9,Dairy_Meat,2.0,6.0,80.0,90.0,7.0
Paneer,Dairy,24.0,88.9,Spring,Warning,618.3,2.428,1.944,0.6689,263.15,0.0,57.7,Dairy_Meat,1.75,6.25,78.75,88.25,12.75
Eggs,Poultry,37.0,82.9,Monsoon,Warning,930.4,1.259,2.143,0.8669,0.0,0.0,13.9,Dairy_Meat,1.6,6.4,70.0,79.6,11.6
Paneer,Dairy,19.8,90.1,Spring,Warning,1065.5,1.261,0.41,0.0194,263.15,0.0,39.3,Dairy_Meat,1.75,6.25,78.75,88.25,12.75
Chicken Breast,Meat,25.9,67.3,Monsoon,Warning,2162.4,9.32,4.771,3.7885,0.0,0.0,9.1,Dairy_Meat,2.0,6.0,80.0,90.0,7.0
Butter,Dairy,20.3,80.8,Spring,Spoiled,1022.2,0.819,1.555,0.5787,263.15,0.0,67.0,Dairy_Meat,1.75,6.25,78.75,88.25,12.75
Fish Fillet,Seafood,29.2,85.2,Spring,Spoiled,957.8,4.524,13.685,6.4442,0.0,0.0,57.5,Dairy_Meat,0.0,2.0,80.0,90.0,2.0
Fish Fillet,Seafood,36.9,78.7,Summer,Warning,736.0,7.353,8.67,2.8975,0.0,0.0,64.3,Dairy_Meat,0.0,2.0,80.0,90.0,2.0
Pork Ribs,Meat,27.3,88.6,Monsoon,Spoiled,2026.7,6.973,16.515,4.7398,0.0,0.0,23.9,Dairy_Meat,2.0,6.0,80.0,90.0,7.0
Butter,Dairy,41.5,68.7,Summer,Warning,423.0,4.255,0.909,0.2121,263.15,0.0,57.6,Dairy_Meat,1.75,6.25,78.75,88.25,12.75
Chicken Breast,Meat,16.1,73.2,Winter,Spoiled,1912.2,7.329,15.163,5.5249,0.0,0.0,46.9,Dairy_Meat,2.0,6.0,80.0,90.0,7.0
Pork Ribs,Meat,18.2,78.7,Spring,Spoiled,1393.8,7.964,8.51,5.9675,0.0,0.0,24.5,Dairy_Meat,2.0,6.0,80.0,90.0,7.0
Eggs,Poultry,21.0,80.0,Spring,Warning,1160.7,10.352,0.958,0.7386,0.0,0.0,20.6,Dairy_Meat,1.6,6.4,70.0,79.6,11.6
Fish Fillet,Seafood,17.8,89.2,Winter,Warning,501.3,0.683,1.091,2.3371,0.0,0.0,68.0,Dairy_Meat,0.0,2.0,80.0,90.0,2.0
Shrimp,Seafood,28.3,82.1,Spring,Spoiled,441.1,14.116,9.555,6.5769,0.0,0.0,29.5,Dairy_Meat,0.0,2.0,80.0,90.0,2.0
Cheddar Cheese,Dairy,31.9,79.3,Summer,Fresh,1011.6,3.032,3.954,0.2257,263.15,0.0,38.1,Dairy_Meat,1.75,6.25,78.75,88.25,12.75
Pork Ribs,Meat,28.2,82.4,Spring,Warning,1954.2,14.214,4.156,1.6882,0.0,0.0,47.9,Dairy_Meat,2.0,6.0,80.0,90.0,7.0
Yogurt,Dairy,32.2,86.3,Monsoon,Warning,426.1,1.441,1.414,0.8596,263.15,0.0,6.1,Dairy_Meat,1.75,6.25,78.75,88.25,12.75
Butter,Dairy,14.7,58.2,Winter,Fresh,519.2,1.328,0.711,0.0596,263.15,0.0,57.3,Dairy_Meat,1.75,6.25,78.75,88.25,12.75
Fish Fillet,Seafood,8.6,91.4,Winter,Warning,795.0,1.207,0.797,3.4562,0.0,0.0,23.9,Dairy_Meat,0.0,2.0,80.0,90.0,2.0
Paneer,Dairy,33.0,77.1,Summer,Warning,1011.8,4.107,2.881,0.7631,263.15,0.0,13.4,Dairy_Meat,1.75,6.25,78.75,88.25,12.75
Lamb Chops,Meat,19.4,71.7,Spring,Spoiled,1130.7,5.0,13.403,6.8619,0.0,0.0,24.4,Dairy_Meat,2.0,6.0,80.0,90.0,7.0
Eggs,Poultry,25.6,64.1,Spring,Warning,601.9,1.739,3.863,0.8649,0.0,0.0,59.6,Dairy_Meat,1.6,6.4,70.0,79.6,11.6
Whole Milk,Dairy,17.7,85.8,Spring,Warning,441.3,1.335,0.655,0.288,263.15,0.0,63.5,Dairy_Meat,1.75,6.25,78.75,88.25,12.75
Pork Ribs,Meat,42.7,76.6,Summer,Spoiled,1559.7,1.398,19.845,7.3034,0.0,0.0,33.8,Dairy_Meat,2.0,6.0,80.0,90.0,7.0
Cheddar Cheese,Dairy,37.1,80.8,Monsoon,Warning,777.8,2.284,0.723,0.1906,263.15,0.0,43.6,Dairy_Meat,1.75,6.25,78.75,88.25,12.75
Eggs,Poultry,28.6,81.5,Monsoon,Warning,1056.4,4.243,1.493,0.5869,0.0,0.0,71.9,Dairy_Meat,1.6,6.4,70.0,79.6,11.6
Pork Ribs,Meat,32.0,78.5,Monsoon,Spoiled,1075.7,2.83,13.95,4.5744,0.0,0.0,17.6,Dairy_Meat,2.0,6.0,80.0,90.0,7.0
Beef Steak,Meat,39.7,83.0,Summer,Spoiled,2123.6,14.712,9.907,0.2962,0.0,0.0,36.7,Dairy_Meat,2.0,6.0,80.0,90.0,7.0
Fish Fillet,Seafood,18.4,91.0,Winter,Spoiled,728.0,9.822,3.087,3.7559,0.0,0.0,69.8,Dairy_Meat,0.0,2.0,80.0,90.0,2.0
Chicken Breast,Meat,18.0,86.4,Spring,Spoiled,1716.3,13.312,9.759,4.3281,0.0,0.0,44.8,Dairy_Meat,2.0,6.0,80.0,90.0,7.0
Butter,Dairy,16.7,79.0,Winter,Warning,754.9,3.47,4.517,0.046,263.15,0.0,57.5,Dairy_Meat,1.75,6.25,78.75,88.25,12.75
Paneer,Dairy,12.6,81.1,Winter,Fresh,540.1,3.047,1.913,0.6831,263.15,0.0,36.3,Dairy_Meat,1.75,6.25,78.75,88.25,12.75
Fish Fillet,Seafood,31.0,88.2,Monsoon,Spoiled,1121.0,10.164,3.16,3.5338,0.0,0.0,25.5,Dairy_Meat,0.0,2.0,80.0,90.0,2.0
Fish Fillet,Seafood,19.5,95.0,Winter,Warning,1082.7,1.6,7.627,2.8717,0.0,0.0,22.0,Dairy_Meat,0.0,2.0,80.0,90.0,2.0
Eggs,Poultry,19.7,81.4,Winter,Warning,995.7,0.736,3.032,0.4967,0.0,0.0,65.2,Dairy_Meat,4.0,10.0,70.0,80.0,28.0
Paneer,Dairy,35.4,89.1,Monsoon,Warning,1014.0,3.404,0.684,0.0972,263.15,0.0,45.5,Dairy_Meat,1.75,6.25,78.75,88.25,12.75
Whole Milk,Dairy,7.4,87.6,Winter,Fresh,732.4,1.004,3.933,0.8765,263.15,0.0,27.0,Dairy_Meat,2.0,6.0,80.0,90.0,7.0
Lamb Chops,Meat,10.3,88.0,Winter,Spoiled,1111.3,1.728,19.258,1.1261,0.0,0.0,69.6,Dairy_Meat,2.0,6.0,80.0,90.0,7.0
Shrimp,Seafood,21.8,88.5,Spring,Spoiled,938.3,10.085,11.691,6.5793,0.0,0.0,67.8,Dairy_Meat,0.0,2.0,80.0,90.0,2.0
Cheddar Cheese,Dairy,25.3,80.6,Monsoon,Warning,450.6,4.119,4.547,0.3022,263.15,0.0,30.0,Dairy_Meat,1.75,6.25,78.75,88.25,12.75
Yogurt,Dairy,34.0,81.6,Summer,Fresh,762.9,3.352,3.716,0.946,263.15,0.0,30.8,Dairy_Meat,1.75,6.25,78.75,88.25,12.75
Eggs,Poultry,33.5,77.0,Monsoon,Warning,952.2,3.259,2.223,0.2361,0.0,0.0,26.8,Dairy_Meat,1.6,6.4,70.0,79.6,11.6
Shrimp,Seafood,18.7,96.1,Winter,Warning,1159.2,12.363,1.833,1.6968,0.0,0.0,46.4,Dairy_Meat,0.0,2.0,80.0,90.0,2.0
Whole Milk,Dairy,33.2,88.0,Summer,Warning,565.7,1.08,4.348,0.3286,263.15,0.0,11.5,Dairy_Meat,2.0,6.0,80.0,90.0,7.0
Fish Fillet,Seafood,41.2,78.0,Summer,Warning,928.8,0.387,0.297,6.3199,0.0,0.0,17.9,Dairy_Meat,0.0,2.0,80.0,90.0,2.0
Chicken Breast,Meat,33.4,64.4,Summer,Spoiled,1341.4,5.431,11.873,3.616,0.0,0.0,16.7,Dairy_Meat,2.0,6.0,80.0,90.0,7.0
Fish Fillet,Seafood,40.2,95.9,Summer,Spoiled,448.7,7.185,8.032,5.4888,0.0,0.0,35.8,Dairy_Meat,0.0,2.0,80.0,90.0,2.0
Pork Ribs,Meat,34.2,82.0,Summer,Warning,1895.5,5.714,11.948,2.3592,0.0,0.0,36.9,Dairy_Meat,2.0,6.0,80.0,90.0,7.0
Beef Steak,Meat,31.5,88.2,Summer,Spoiled,1303.1,13.321,8.276,6.6194,0.0,0.0,29.3,Dairy_Meat,2.0,6.0,80.0,90.0,7.0
Eggs,Poultry,35.5,82.0,Summer,Spoiled,453.7,12.477,0.466,0.0966,0.0,0.0,53.5,Dairy_Meat,4.0,10.0,70.0,80.0,21.0
Yogurt,Dairy,42.4,91.6,Summer,Warning,1152.9,2.115,4.579,0.0514,263.15,0.0,21.4,Dairy_Meat,1.75,6.25,78.75,88.25,12.75
Paneer,Dairy,14.5,76.0,Winter,Warning,1076.3,1.838,3.813,0.5741,263.15,0.0,58.3,Dairy_Meat,1.75,6.25,78.75,88.25,12.75
Lamb Chops,Meat,42.1,80.9,Summer,Spoiled,1048.9,5.097,0.122,6.9589,0.0,0.0,41.2,Dairy_Meat,2.0,6.0,80.0,90.0,7.0
Beef Steak,Meat,39.6,78.2,Summer,Warning,1352.7,2.361,6.233,2.5951,0.0,0.0,67.8,Dairy_Meat,2.0,6.0,80.0,90.0,7.0
Fish Fillet,Seafood,32.0,81.7,Summer,Warning,739.2,9.106,8.284,1.7246,0.0,0.0,37.4,Dairy_Meat,0.0,2.0,80.0,90.0,2.0
Chicken Breast,Meat,20.7,69.6,Spring,Warning,1230.1,8.99,0.154,2.4114,0.0,0.0,16.0,Dairy_Meat,2.0,6.0,80.0,90.0,7.0
Yogurt,Dairy,11.3,79.4,Winter,Warning,962.9,2.501,4.167,0.8062,263.15,0.0,6.1,Dairy_Meat,1.75,6.25,78.75,88.25,12.75
Eggs,Poultry,30.2,79.2,Summer,Warning,967.6,6.265,0.576,0.0209,0.0,0.0,24.1,Dairy_Meat,4.0,10.0,70.0,80.0,21.0
Fish Fillet,Seafood,29.0,86.2,Spring,Spoiled,819.2,5.937,6.205,2.7161,0.0,0.0,24.6,Dairy_Meat,0.0,2.0,80.0,90.0,2.0
Yogurt,Dairy,38.2,84.8,Summer,Fresh,1166.6,3.227,0.738,0.1028,263.15,0.0,19.2,Dairy_Meat,1.75,6.25,78.75,88.25,12.75
Yogurt,Dairy,26.0,85.9,Monsoon,Warning,863.6,3.406,4.41,0.643,263.15,0.0,71.0,Dairy_Meat,1.75,6.25,78.75,88.25,12.75
Chicken Breast,Meat,12.7,81.8,Winter,Warning,1139.1,1.113,9.235,0.3009,0.0,0.0,27.2,Dairy_Meat,2.0,6.0,80.0,90.0,7.0
Paneer,Dairy,41.2,85.3,Summer,Warning,843.5,3.959,4.479,0.4497,263.15,0.0,58.5,Dairy_Meat,1.75,6.25,78.75,88.25,12.75
Shrimp,Seafood,32.9,94.7,Monsoon,Spoiled,1069.9,14.736,1.687,5.169,0.0,0.0,3.8,Dairy_Meat,0.0,2.0,80.0,90.0,2.0
Eggs,Poultry,23.8,78.9,Spring,Fresh,1019.6,10.183,0.262,0.6309,0.0,0.0,24.8,Dairy_Meat,1.6,6.4,70.0,79.6,11.6
Chicken Breast,Meat,38.8,86.7,Summer,Spoiled,2233.9,5.0,11.655,1.1314,0.0,0.0,25.8,Dairy_Meat,2.0,6.0,80.0,90.0,7.0
Shrimp,Seafood,24.7,93.6,Spring,Spoiled,1050.5,10.052,16.579,5.9102,0.0,0.0,49.7,Dairy_Meat,0.0,2.0,80.0,90.0,2.0
Lamb Chops,Meat,38.7,87.1,Summer,Warning,1117.6,11.492,3.84,7.9998,0.0,0.0,12.0,Dairy_Meat,2.0,6.0,80.0,90.0,7.0
Paneer,Dairy,40.0,79.0,Summer,Warning,1013.0,0.655,1.884,0.1622,263.15,0.0,60.0,Dairy_Meat,1.75,6.25,78.75,88.25,12.75
Fish Fillet,Seafood,30.7,83.3,Monsoon,Spoiled,627.9,11.228,8.979,4.2721,0.0,0.0,23.0,Dairy_Meat,0.0,2.0,80.0,90.0,2.0
Pork Ribs,Meat,33.8,87.3,Monsoon,Spoiled,1456.1,6.28,3.241,1.5976,0.0,0.0,43.9,Dairy_Meat,2.0,6.0,80.0,90.0,7.0
Paneer,Dairy,36.2,88.0,Summer,Warning,499.7,0.419,0.802,0.4493,263.15,0.0,37.4,Dairy_Meat,1.75,6.25,78.75,88.25,12.75
Beef Steak,Meat,40.6,77.8,Summer,Warning,1185.3,5.792,1.632,1.7963,0.0,0.0,23.6,Dairy_Meat,2.0,6.0,80.0,90.0,7.0
Cheddar Cheese,Dairy,8.8,76.7,Winter,Fresh,964.4,2.243,0.026,0.0792,263.15,0.0,19.2,Dairy_Meat,1.75,6.25,78.75,88.25,12.75
Yogurt,Dairy,27.1,85.2,Spring,Fresh,898.2,0.314,4.183,0.4998,263.15,0.0,39.1,Dairy_Meat,1.75,6.25,78.75,88.25,12.75
Shrimp,Seafood,26.9,84.7,Monsoon,Spoiled,931.5,1.284,19.493,0.5414,0.0,0.0,38.4,Dairy_Meat,0.0,2.0,80.0,90.0,2.0
Lamb Chops,Meat,41.4,83.7,Summer,Spoiled,1149.9,1.013,4.823,5.2568,0.0,0.0,8.4,Dairy_Meat,2.0,6.0,80.0,90.0,7.0
Fish Fillet,Seafood,7.6,89.3,Winter,Spoiled,771.7,10.431,12.635,6.492,0.0,0.0,5.5,Dairy_Meat,0.0,2.0,80.0,90.0,2.0
Pork Ribs,Meat,32.6,73.4,Summer,Warning,1236.3,12.231,9.468,0.293,0.0,0.0,46.9,Dairy_Meat,2.0,6.0,80.0,90.0,7.0
Paneer,Dairy,18.3,92.7,Winter,Fresh,994.6,4.473,1.933,0.9737,263.15,0.0,36.2,Dairy_Meat,1.75,6.25,78.75,88.25,12.75
Pork Ribs,Meat,10.5,88.2,Winter,Warning,779.0,4.406,2.052,2.6234,0.0,0.0,22.0,Dairy_Meat,2.0,6.0,80.0,90.0,7.0
Pork Ribs,Meat,26.0,79.8,Spring,Spoiled,2496.1,4.118,19.601,7.5832,0.0,0.0,6.3,Dairy_Meat,2.0,6.0,80.0,90.0,7.0
Shrimp,Seafood,23.7,91.3,Spring,Warning,942.5,6.573,2.525,1.888,0.0,0.0,46.8,Dairy_Meat,0.0,2.0,80.0,90.0,2.0
Chicken Breast,Meat,17.4,74.6,Spring,Warning,561.5,2.065,7.339,2.5151,0.0,0.0,20.8,Dairy_Meat,2.0,6.0,80.0,90.0,7.0
Cheddar Cheese,Dairy,32.4,83.7,Summer,Spoiled,963.2,1.073,3.059,0.694,263.15,0.0,71.9,Dairy_Meat,1.75,6.25,78.75,88.25,12.75
Butter,Dairy,41.1,60.4,Summer,Warning,945.5,4.228,1.598,0.3474,263.15,0.0,5.6,Dairy_Meat,1.75,6.25,78.75,88.25,12.75
Lamb Chops,Meat,18.1,87.3,Winter,Spoiled,1468.4,1.82,4.02,1.111,0.0,0.0,57.1,Dairy_Meat,2.0,6.0,80.0,90.0,7.0
Whole Milk,Dairy,14.4,91.0,Winter,Warning,452.6,1.991,3.585,0.4787,263.15,0.0,30.2,Dairy_Meat,2.0,6.0,80.0,90.0,7.0
Beef Steak,Meat,42.6,78.7,Summer,Spoiled,2243.7,11.704,12.796,1.4557,0.0,0.0,69.6,Dairy_Meat,2.0,6.0,80.0,90.0,7.0
Beef Steak,Meat,36.7,78.1,Summer,Fresh,2389.7,7.783,5.681,0.6309,0.0,0.0,14.9,Dairy_Meat,2.0,6.0,80.0,90.0,7.0
Lamb Chops,Meat,15.1,83.2,Winter,Spoiled,1619.4,2.568,12.49,7.216,0.0,0.0,25.0,Dairy_Meat,2.0,6.0,80.0,90.0,7.0
Fish Fillet,Seafood,31.1,78.9,Summer,Spoiled,857.7,9.272,0.606,7.112,0.0,0.0,39.7,Dairy_Meat,0.0,2.0,80.0,90.0,2.0
Shrimp,Seafood,10.2,92.3,Winter,Warning,526.5,6.234,9.289,2.7215,0.0,0.0,11.2,Dairy_Meat,0.0,2.0,80.0,90.0,2.0
Eggs,Poultry,19.8,79.9,Winter,Fresh,484.9,3.626,0.613,0.4496,0.0,0.0,11.0,Dairy_Meat,4.0,10.0,70.0,80.0,28.0
Whole Milk,Dairy,18.2,97.3,Winter,Spoiled,1147.0,3.606,0.949,0.1593,263.15,0.0,71.7,Dairy_Meat,2.0,6.0,80.0,90.0,7.0
Pork Ribs,Meat,23.5,73.4,Spring,Spoiled,1625.0,0.73,5.627,4.7802,0.0,0.0,60.8,Dairy_Meat,2.0,6.0,80.0,90.0,7.0
Shrimp,Seafood,24.0,97.4,Spring,Spoiled,1011.1,5.489,8.012,4.5623,0.0,0.0,14.8,Dairy_Meat,0.0,2.0,80.0,90.0,2.0
Lamb Chops,Meat,12.0,85.7,Winter,Warning,1683.2,1.93,1.934,2.9856,0.0,0.0,71.1,Dairy_Meat,2.0,6.0,80.0,90.0,7.0
Lamb Chops,Meat,9.6,68.2,Winter,Spoiled,1099.4,7.106,9.14,4.8501,0.0,0.0,37.6,Dairy_Meat,2.0,6.0,80.0,90.0,7.0
Chicken Breast,Meat,12.1,78.1,Winter,Spoiled,1470.4,7.348,11.258,3.7991,0.0,0.0,2.2,Dairy_Meat,2.0,6.0,80.0,90.0,7.0
Chicken Breast,Meat,37.6,69.4,Summer,Spoiled,1396.6,14.506,15.658,6.2093,0.0,0.0,42.0,Dairy_Meat,2.0,6.0,80.0,90.0,7.0
Eggs,Poultry,36.2,77.3,Summer,Warning,1057.3,3.633,2.863,0.7005,0.0,0.0,14.5,Dairy_Meat,4.0,10.0,70.0,80.0,21.0
Pork Ribs,Meat,9.0,90.2,Winter,Warning,2232.9,11.038,1.246,1.1047,0.0,0.0,15.7,Dairy_Meat,2.0,6.0,80.0,90.0,7.0
Chicken Breast,Meat,21.9,78.3,Spring,Spoiled,1819.3,13.015,13.615,6.4292,0.0,0.0,19.8,Dairy_Meat,2.0,6.0,80.0,90.0,7.0
Pork Ribs,Meat,28.6,89.2,Monsoon,Spoiled,1880.3,10.354,9.78,3.8384,0.0,0.0,40.8,Dairy_Meat,2.0,6.0,80.0,90.0,7.0
Eggs,Poultry,8.6,88.2,Winter,Warning,1163.7,12.069,1.452,0.2876,0.0,0.0,51.7,Dairy_Meat,4.0,10.0,70.0,80.0,28.0
Chicken Breast,Meat,20.3,86.0,Spring,Spoiled,1862.0,2.059,12.314,4.6946,0.0,0.0,18.2,Dairy_Meat,2.0,6.0,80.0,90.0,7.0
Shrimp,Seafood,28.0,92.3,Monsoon,Spoiled,510.0,14.468,19.558,1.2635,0.0,0.0,47.4,Dairy_Meat,0.0,2.0,80.0,90.0,2.0
Pork Ribs,Meat,19.6,88.6,Spring,Spoiled,587.9,8.612,10.703,5.7849,0.0,0.0,67.5,Dairy_Meat,2.0,6.0,80.0,90.0,7.0
Yogurt,Dairy,29.1,81.6,Spring,Warning,999.2,4.361,1.447,0.0375,263.15,0.0,22.2,Dairy_Meat,1.75,6.25,78.75,88.25,12.75
Fish Fillet,Seafood,33.7,95.7,Summer,Warning,1080.8,7.02,3.856,0.9012,0.0,0.0,12.5,Dairy_Meat,0.0,2.0,80.0,90.0,2.0
Pork Ribs,Meat,9.4,84.8,Winter,Spoiled,768.5,12.842,17.941,6.6159,0.0,0.0,37.6,Dairy_Meat,2.0,6.0,80.0,90.0,7.0
Cheddar Cheese,Dairy,18.2,76.5,Spring,Fresh,706.9,2.234,1.335,0.3296,263.15,0.0,42.4,Dairy_Meat,1.75,6.25,78.75,88.25,12.75
Fish Fillet,Seafood,38.5,79.3,Summer,Spoiled,724.3,7.538,17.902,5.6285,0.0,0.0,23.1,Dairy_Meat,0.0,2.0,80.0,90.0,2.0
Cheddar Cheese,Dairy,15.0,83.5,Winter,Fresh,884.6,2.079,2.746,0.4708,263.15,0.0,39.2,Dairy_Meat,1.75,6.25,78.75,88.25,12.75
Shrimp,Seafood,33.8,89.8,Monsoon,Spoiled,689.4,13.759,2.244,6.6302,0.0,0.0,65.1,Dairy_Meat,0.0,2.0,80.0,90.0,2.0
Butter,Dairy,29.3,66.7,Monsoon,Fresh,472.8,2.552,4.043,0.4534,263.15,0.0,37.4,Dairy_Meat,1.75,6.25,78.75,88.25,12.75
Pork Ribs,Meat,36.0,84.3,Summer,Warning,1966.2,8.675,0.906,2.7562,0.0,0.0,5.5,Dairy_Meat,2.0,6.0,80.0,90.0,7.0
